               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.024858,            0.016479,                   0,              0.4584,             0.38889,              0.3181,             0.11372,            0.064741,            0.023496,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.026493,            0.016806,                   0,             0.39128,               0.375,             0.29533,            0.090534,            0.065972,            0.022794,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.024161,            0.016916,                   0,             0.48977,             0.33333,             0.27805,            0.086971,            0.066596,            0.021926,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.024776,            0.016907,                   0,             0.33674,             0.40278,             0.27618,             0.10183,            0.065764,            0.022344,                   0,            0.004654,            0.004654,            0.004654
                 110,             0.02427,            0.016223,                   0,             0.49022,             0.36062,             0.32185,             0.10968,            0.066606,             0.02296,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.024791,            0.016794,                   0,             0.55313,             0.36111,             0.29805,            0.092346,            0.067051,            0.022708,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.024499,            0.016408,                   0,             0.52076,             0.33205,             0.26312,            0.089924,             0.06668,            0.022272,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.024401,            0.015991,                   0,             0.54157,             0.36111,             0.28677,             0.10781,            0.067477,            0.022242,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.024318,            0.016812,                   0,             0.55527,             0.34722,             0.33506,             0.11794,            0.066554,            0.022969,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.023699,            0.015958,                   0,             0.47368,               0.375,             0.32485,             0.12642,            0.066495,            0.023344,                   0,            0.004357,            0.004357,            0.004357
                 116,             0.02438,             0.01647,                   0,             0.50895,               0.375,             0.32768,             0.12021,            0.066466,             0.02367,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.023263,            0.016319,                   0,             0.49996,             0.34722,             0.32018,             0.11858,            0.065239,            0.024194,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.024136,            0.016211,                   0,             0.53834,             0.29153,             0.28802,             0.11046,            0.064713,            0.024486,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.023704,            0.016344,                   0,             0.52036,             0.34722,             0.30324,             0.09456,             0.06613,            0.024091,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.024599,            0.017117,                   0,             0.54513,             0.31631,             0.29978,             0.10152,            0.064904,            0.023188,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.024051,            0.016207,                   0,             0.55259,             0.36111,             0.31088,            0.099776,            0.065097,            0.023382,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.023345,            0.016128,                   0,             0.58534,              0.3333,             0.29248,             0.10791,            0.065766,            0.022982,                   0,           0.0040105,           0.0040105,           0.0040105
